date,vehicle_category,maker,electric_vehicles_sold
1-Nov-23,2-Wheelers,OKINAWA,1587
1-Nov-23,2-Wheelers,HERO ELECTRIC,814
1-Nov-23,2-Wheelers,OKAYA EV,1281
1-Nov-23,2-Wheelers,BGAUSS,1589
1-Nov-23,2-Wheelers,BATTRE ELECTRIC,659
1-Nov-23,2-Wheelers,KINETIC GREEN,422
1-Nov-23,2-Wheelers,REVOLT,663
1-Nov-23,2-Wheelers,OTHERS,9707
1-Dec-21,2-Wheelers,HERO ELECTRIC,6402
1-Dec-21,2-Wheelers,OKINAWA,6184
1-Dec-21,2-Wheelers,AMPERE,3410
1-Dec-21,2-Wheelers,ATHER,1813
1-Dec-21,2-Wheelers,PURE EV,1685
1-Dec-21,2-Wheelers,OLA ELECTRIC,240
1-Dec-21,2-Wheelers,TVS,1119
1-Dec-21,2-Wheelers,REVOLT,835
1-Dec-21,2-Wheelers,BAJAJ,642
1-Dec-21,2-Wheelers,BEING,1190
1-Dec-21,2-Wheelers,JITENDRA,503
1-Dec-21,2-Wheelers,OTHERS,2603
1-Dec-22,2-Wheelers,OLA ELECTRIC,16919
1-Dec-22,2-Wheelers,OKINAWA,5281
1-Dec-22,2-Wheelers,HERO ELECTRIC,8100
1-Dec-22,2-Wheelers,AMPERE,4592
1-Dec-22,2-Wheelers,TVS,9363
1-Dec-22,2-Wheelers,ATHER,7693
1-Dec-22,2-Wheelers,BAJAJ,3240
1-Dec-22,2-Wheelers,OKAYA EV,1445
1-Dec-22,2-Wheelers,REVOLT,37
1-Dec-22,2-Wheelers,PURE EV,780
1-Dec-22,2-Wheelers,BEING,966
1-Dec-22,2-Wheelers,JITENDRA,668
1-Dec-22,2-Wheelers,OTHERS,5557
1-Dec-23,2-Wheelers,OLA ELECTRIC,30588
1-Dec-23,2-Wheelers,TVS,12171
1-Dec-23,2-Wheelers,ATHER,6471
1-Dec-23,2-Wheelers,BAJAJ,10292
1-Dec-23,2-Wheelers,AMPERE,3309
1-Dec-23,2-Wheelers,OKINAWA,953
1-Dec-23,2-Wheelers,HERO ELECTRIC,545
1-Dec-23,2-Wheelers,OKAYA EV,700
1-Dec-23,2-Wheelers,BGAUSS,1200
1-Dec-23,2-Wheelers,BATTRE ELECTRIC,241
1-Dec-23,2-Wheelers,KINETIC GREEN,660
1-Dec-23,2-Wheelers,REVOLT,673
1-Dec-23,2-Wheelers,OTHERS,7691
1-Jan-22,2-Wheelers,HERO ELECTRIC,8238
1-Jan-22,2-Wheelers,OKINAWA,5737
1-Jan-22,2-Wheelers,AMPERE,4366
1-Jan-22,2-Wheelers,ATHER,1881
1-Jan-22,2-Wheelers,PURE EV,1691
1-Jan-22,2-Wheelers,OLA ELECTRIC,1107
1-Jan-22,2-Wheelers,TVS,1155
1-Jan-22,2-Wheelers,REVOLT,673
1-Jan-22,2-Wheelers,BAJAJ,612
1-Jan-22,2-Wheelers,BEING,1062
1-Jan-22,2-Wheelers,JITENDRA,535
1-Jan-22,2-Wheelers,OTHERS,3065
1-Jan-23,2-Wheelers,OLA ELECTRIC,20148
1-Jan-23,2-Wheelers,OKINAWA,4407
1-Jan-23,2-Wheelers,HERO ELECTRIC,6399
1-Jan-23,2-Wheelers,AMPERE,4456
1-Jan-23,2-Wheelers,TVS,10462
1-Jan-23,2-Wheelers,ATHER,9224
1-Jan-23,2-Wheelers,BAJAJ,2252
1-Jan-23,2-Wheelers,OKAYA EV,1265
1-Jan-23,2-Wheelers,REVOLT,14
1-Jan-23,2-Wheelers,PURE EV,717
1-Jan-23,2-Wheelers,BEING,571
1-Jan-23,2-Wheelers,JITENDRA,522
1-Jan-23,2-Wheelers,OTHERS,4241
1-Jan-24,2-Wheelers,OLA ELECTRIC,32275
1-Jan-24,2-Wheelers,TVS,15153
1-Jan-24,2-Wheelers,ATHER,9244
1-Jan-24,2-Wheelers,BAJAJ,10753
1-Jan-24,2-Wheelers,AMPERE,2505
1-Jan-24,2-Wheelers,OKINAWA,675
1-Jan-24,2-Wheelers,HERO ELECTRIC,413
1-Jan-24,2-Wheelers,OKAYA EV,574
1-Jan-24,2-Wheelers,BGAUSS,1469
1-Jan-24,2-Wheelers,BATTRE ELECTRIC,284
1-Jan-24,2-Wheelers,KINETIC GREEN,810
1-Jan-24,2-Wheelers,REVOLT,524
1-Jan-24,2-Wheelers,OTHERS,6664
1-Feb-22,2-Wheelers,HERO ELECTRIC,7773
1-Feb-22,2-Wheelers,OKINAWA,6122
1-Feb-22,2-Wheelers,AMPERE,4431
1-Feb-22,2-Wheelers,ATHER,2232
1-Feb-22,2-Wheelers,PURE EV,1428
1-Feb-22,2-Wheelers,OLA ELECTRIC,3911
1-Feb-22,2-Wheelers,TVS,1560
1-Feb-22,2-Wheelers,REVOLT,1128
1-Feb-22,2-Wheelers,BAJAJ,1372
1-Feb-22,2-Wheelers,BEING,1149
1-Feb-22,2-Wheelers,JITENDRA,583
1-Feb-22,2-Wheelers,OTHERS,4033
1-Feb-23,2-Wheelers,OLA ELECTRIC,17762
1-Feb-23,2-Wheelers,OKINAWA,3848
1-Feb-23,2-Wheelers,HERO ELECTRIC,5863
1-Feb-23,2-Wheelers,AMPERE,6003
1-Feb-23,2-Wheelers,TVS,12671
1-Feb-23,2-Wheelers,ATHER,10069
1-Feb-23,2-Wheelers,BAJAJ,2537
1-Feb-23,2-Wheelers,OKAYA EV,1232
1-Feb-23,2-Wheelers,REVOLT,79
1-Feb-23,2-Wheelers,PURE EV,488
1-Feb-23,2-Wheelers,BEING,337
1-Feb-23,2-Wheelers,JITENDRA,308
1-Feb-23,2-Wheelers,OTHERS,4874
1-Feb-24,2-Wheelers,OLA ELECTRIC,33967
1-Feb-24,2-Wheelers,TVS,14431
1-Feb-24,2-Wheelers,ATHER,8957
1-Feb-24,2-Wheelers,BAJAJ,11603
1-Feb-24,2-Wheelers,AMPERE,2577
1-Feb-24,2-Wheelers,OKINAWA,652
1-Feb-24,2-Wheelers,HERO ELECTRIC,323
1-Feb-24,2-Wheelers,OKAYA EV,649
1-Feb-24,2-Wheelers,BGAUSS,1334
1-Feb-24,2-Wheelers,BATTRE ELECTRIC,219
1-Feb-24,2-Wheelers,KINETIC GREEN,624
1-Feb-24,2-Wheelers,REVOLT,473
1-Feb-24,2-Wheelers,OTHERS,6154
1-Mar-22,2-Wheelers,HERO ELECTRIC,13652
1-Mar-22,2-Wheelers,OKINAWA,8586
1-Mar-22,2-Wheelers,AMPERE,6666
1-Mar-22,2-Wheelers,ATHER,2232
1-Mar-22,2-Wheelers,PURE EV,2065
1-Mar-22,2-Wheelers,OLA ELECTRIC,9143
1-Mar-22,2-Wheelers,TVS,2391
1-Mar-22,2-Wheelers,REVOLT,1413
1-Mar-22,2-Wheelers,BAJAJ,855
1-Mar-22,2-Wheelers,BEING,1013
1-Mar-22,2-Wheelers,JITENDRA,1052
1-Mar-22,2-Wheelers,OTHERS,5330
1-Mar-23,2-Wheelers,OLA ELECTRIC,22398
1-Mar-23,2-Wheelers,OKINAWA,4509
1-Mar-23,2-Wheelers,HERO ELECTRIC,6661
1-Mar-23,2-Wheelers,AMPERE,9736
1-Mar-23,2-Wheelers,TVS,16896
1-Mar-23,2-Wheelers,ATHER,12180
1-Mar-23,2-Wheelers,BAJAJ,4552
1-Mar-23,2-Wheelers,OKAYA EV,1765
1-Mar-23,2-Wheelers,REVOLT,1140
1-Mar-23,2-Wheelers,PURE EV,584
1-Mar-23,2-Wheelers,BEING,446
1-Mar-23,2-Wheelers,JITENDRA,350
1-Mar-23,2-Wheelers,OTHERS,5089
1-Mar-24,2-Wheelers,OLA ELECTRIC,44630
1-Mar-24,2-Wheelers,TVS,26158
1-Mar-24,2-Wheelers,ATHER,17012
1-Mar-24,2-Wheelers,BAJAJ,17716
1-Mar-24,2-Wheelers,AMPERE,3108
1-Mar-24,2-Wheelers,OKINAWA,673
1-Mar-24,2-Wheelers,HERO ELECTRIC,316
1-Mar-24,2-Wheelers,OKAYA EV,1218
1-Mar-24,2-Wheelers,BGAUSS,3070
1-Mar-24,2-Wheelers,BATTRE ELECTRIC,625
1-Mar-24,2-Wheelers,KINETIC GREEN,3915
1-Mar-24,2-Wheelers,REVOLT,585
1-Mar-24,2-Wheelers,OTHERS,10579
