date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
1-May-21,Ladakh,4-Wheelers,0,70
1-May-21,Madhya Pradesh,4-Wheelers,0,195
1-May-21,Manipur,2-Wheelers,0,288
1-May-21,Manipur,4-Wheelers,0,9
1-May-21,Meghalaya,2-Wheelers,0,332
1-May-21,Mizoram,2-Wheelers,0,15
1-May-21,Mizoram,4-Wheelers,0,4
1-May-21,Nagaland,2-Wheelers,0,125
1-May-21,Nagaland,4-Wheelers,0,126
1-May-21,Odisha,4-Wheelers,0,722
1-May-21,Punjab,4-Wheelers,0,5202
1-May-21,Tripura,2-Wheelers,0,2063
1-May-21,Tripura,4-Wheelers,0,192
1-May-21,Uttarakhand,4-Wheelers,0,1145
1-Jun-21,Andaman & Nicobar Island,2-Wheelers,0,2
1-Jun-21,Arunachal Pradesh,2-Wheelers,0,727
1-Jun-21,Arunachal Pradesh,4-Wheelers,0,565
1-Jun-21,Ladakh,2-Wheelers,0,3
1-Jun-21,Ladakh,4-Wheelers,0,112
1-Jun-21,Manipur,2-Wheelers,0,89
1-Jun-21,Manipur,4-Wheelers,0,18
1-Jun-21,Meghalaya,2-Wheelers,0,354
1-Jun-21,Meghalaya,4-Wheelers,0,246
1-Jun-21,Mizoram,2-Wheelers,0,648
1-Jun-21,Mizoram,4-Wheelers,0,298
1-Jun-21,Nagaland,2-Wheelers,0,42
1-Jun-21,Nagaland,4-Wheelers,0,54
1-Jun-21,Puducherry,4-Wheelers,0,445
1-Jun-21,Tripura,4-Wheelers,0,185
1-Jul-21,Andaman & Nicobar Island,2-Wheelers,0,467
1-Jul-21,Arunachal Pradesh,2-Wheelers,0,994
1-Jul-21,Arunachal Pradesh,4-Wheelers,0,661
1-Jul-21,Assam,4-Wheelers,0,4988
1-Jul-21,DNH and DD,4-Wheelers,0,276
1-Jul-21,Ladakh,2-Wheelers,0,51
1-Jul-21,Ladakh,4-Wheelers,0,552
1-Jul-21,Manipur,2-Wheelers,0,474
1-Jul-21,Manipur,4-Wheelers,0,68
1-Jul-21,Meghalaya,2-Wheelers,0,726
1-Jul-21,Mizoram,2-Wheelers,0,1096
1-Jul-21,Mizoram,4-Wheelers,0,219
1-Jul-21,Nagaland,2-Wheelers,0,583
1-Jul-21,Nagaland,4-Wheelers,0,1039
1-Jul-21,Puducherry,4-Wheelers,0,866
1-Jul-21,Tripura,2-Wheelers,0,2211
1-Jul-21,Tripura,4-Wheelers,0,352
1-Aug-21,Andaman & Nicobar Island,2-Wheelers,0,406
1-Aug-21,Arunachal Pradesh,2-Wheelers,0,1126
1-Aug-21,Arunachal Pradesh,4-Wheelers,0,758
1-Aug-21,DNH and DD,4-Wheelers,0,321
1-Aug-21,Himachal Pradesh,4-Wheelers,0,3641
1-Aug-21,Jammu and Kashmir,4-Wheelers,0,5430
1-Aug-21,Ladakh,2-Wheelers,0,30
1-Aug-21,Ladakh,4-Wheelers,0,459
1-Aug-21,Manipur,2-Wheelers,0,1016
1-Aug-21,Manipur,4-Wheelers,0,561
1-Aug-21,Meghalaya,2-Wheelers,0,1041
